event,start,end,genre
行政院推行「陽光屋頂」十萬戶太陽能設備,1998,1998,太陽能
台中火力發電廠成為世界最大的火力發電廠,2004,2006,火力
大潭發電廠商轉,2006,2008,火力
工研院/台糖等建立首座沼氣發電示範廠,1986,1989,生質能
地熱發電推動多項示範案,2016,2019,地熱
行政院通過「風力示範計畫」，第一波商轉示範,2000,2005,風力
公布「風力發電離岸系統示範獎勵辦法」啟動離岸風電開發,2012,2012,風力
離岸風電快速擴展期,2016,2024,風力
核三啟動商轉,1984,1985,核能
核二除役,2021,2023,核能
核一除役,2018,2019,核能
核四停工封存,2014,2015,核能
福島核災爆發，提出2025年「非核家園」構想,2011,2011,核能
開放民間經營發電業,1995,1995,火力
再生能源發展條例三讀通過,2009,2009,
智慧電網總體規劃方案核定,2010,2010,
《再生能源發展條例》將垃圾、農工廢棄物納入生質能發展範疇,2002,2002,生質能
建立再生能源FIT躉購制度，保障綠電收購價格,2009,2009,
屏東縣建置全臺首座廚餘沼氣發電示範場,2010,2010,生質能
台中火力發電廠(中火)完工商轉,1989,1992,火力
政府宣布「2050淨零排放」,2021,2021,火力
明湖抽蓄式水力發電廠完工商轉,1985,1985,水力
明潭抽蓄式水力電廠完工商轉,1994,1995,水力
啟動陽光屋頂百萬座計畫,2012,2012,太陽能
彰工風力發電場啟動商轉,2007,2007,風力
「Formosa 1」完工啟動商轉,2017,2019,風力
